treat,fertil,semente,freq
treatA,fertil1,A,42
treatA,fertil2,E,45
treatA,fertil3,C,41
treatA,fertil4,B,56
treatA,fertil5,D,47
treatB,fertil1,C,47
treatB,fertil2,B,54
treatB,fertil3,A,46
treatB,fertil4,D,52
treatB,fertil5,E,49
treatC,fertil1,B,55
treatC,fertil2,C,52
treatC,fertil3,D,57
treatC,fertil4,E,49
treatC,fertil5,A,45
treatD,fertil1,D,51
treatD,fertil2,A,44
treatD,fertil3,E,47
treatD,fertil4,C,50
treatD,fertil5,B,54
treatE,fertil1,E,44
treatE,fertil2,D,50
treatE,fertil3,B,48
treatE,fertil4,A,43
treatE,fertil5,C,46
