Trat;V1;V2;V3;V4;V5;V6;V7
A1;0,2641;3,7498;14,1964;50,8125;41,5846;7,6029;0,1496
A2;0,2686;3,7584;13,9931;50,9835;41,5317;7,4848;0,1468
A3;0,2534;3,7288;14,7119;51,2187;41,1364;7,6448;0,1493
A4;0,2646;3,8066;14,3885;50,1781;41,9751;7,8568;0,1538
A5;0,2674;3,7707;14,1003;51,4442;41,1296;7,4348;0,1445
A6;0,2647;3,7492;14,1617;51,7418;40,8164;7,4419;0,1439
A7;0,2615;3,711;14,1934;49,691;42,6104;7,6985;0,1549
A8;0,2574;3,7667;14,4064;50,8604;41,5824;7,5574;0,1486
B1;0,3082;3,6688;11,9032;50,1596;44,7324;5,1079;0,1018
B2;0,3028;3,6869;12,1748;51,0211;43,7937;5,1851;0,1016
B3;0,2986;3,6462;12,2127;50,1743;44,7181;5,1076;0,1018
B4;0,3088;3,6534;11,8326;50,3315;44,5703;5,0982;0,1013
B5;0,3152;3,6755;11,6604;48,7372;46,3307;4,9321;0,1012
B6;0,2974;3,6462;12,2594;49,1212;45,6885;5,1902;0,1057
B7;0,3036;3,6621;12,0602;50,338;45,4279;4,2341;0,104
B8;0,2935;3,6486;12,433;49,8098;44,9126;5,2776;0,106
C1;0,3265;3,5218;10,4667;53,7498;41,1561;5,0964;0,0948
C2;0,3381;3,4948;10,3354;53,3053;41,5914;5,1033;0,0957
C3;0,3414;3,5198;10,3096;53,5173;41,4064;5,0761;0,0948
C4;0,3352;3,5109;10,4754;52,8601;41,9989;5,141;0,0973
C5;0,3368;3,5314;10,4853;52,3581;42,5652;5,0767;0,097
C6;0,3367;3,5224;10,4602;53,2827;41,6098;5,1076;0,0959
C7;0,3361;3,4972;10,4059;53,752;41,1832;5,0647;0,0942
C8;0,3414;3,5098;10,2802;53,5173;41,4064;5,0761;0,0949
D1;0,3506;3,1983;9,1235;42,7332;52,4618;4,805;0,1124
D2;0,3525;3,2163;9,1247;42,8315;52,3111;4,8574;0,1134
D3;0,3496;3,2131;9,1909;42,4186;52,7001;4,8813;0,1151
D4;0,3468;3,22;9,2858;42,3136;53,1051;4,5812;0,1083
D5;0,3527;3,2172;9,1216;43,1662;51,8315;5,0023;0,1159
D6;0,3475;3,229;9,2916;42,8412;52,196;4,9628;0,1158
D7;0,3517;3,1981;9,0936;42,0623;53,1285;4,8092;0,1143
D8;0,3536;3,209;9,0741;42,496;52,671;4,8329;0,1137
