especie,sexo,FL,RW,CL,CW,BD
azul,M,86,6.7,16.1,19,81
azul,M,87,7.7,18.1,20.8,82
azul,M,90,7.8,19,22.4,83
azul,M,91,7.9,20.1,23.1,84
azul,M,5,9,23,26.5,93
azul,M,10,9.1,24.5,28.4,4
azul,M,12,10.5,25.2,29.3,3
azul,M,15,11,26.8,31.5,10
azul,M,17,10,27.7,31.7,10
azul,M,19,10.9,27.4,31.5,7
azul,M,20,11,26.8,30.9,10
azul,M,21,10.6,28.2,32.3,7
azul,M,25,11.1,29.2,33.3,15
azul,M,33,10.9,31.4,36.4,24
azul,M,33,11.5,32.4,37,26
azul,M,33,11.9,32.5,37.2,28
azul,M,35,12.1,32.3,36.7,28
azul,M,37,11.8,33,37.5,28
azul,M,40,12.6,35.8,40.3,36
azul,M,42,12.7,34,38.9,34
azul,M,43,12.8,34.9,40.7,47
azul,M,44,13.3,36,41.7,44
azul,M,45,12.7,35.6,40.9,39
azul,M,47,13.5,38.1,43.4,39
azul,M,49,12.8,36.2,41.8,39
azul,M,50,13.2,37.3,42.7,46
azul,M,51,12.6,36.4,42,41
azul,M,57,13.7,39.2,44.4,51
azul,M,62,15.8,42.1,49,63
azul,M,65,13.5,41.6,47.4,63
azul,M,65,13.8,40.9,46.5,56
azul,M,67,15.3,41.9,48.5,63
azul,M,68,14.2,43.2,49.7,67
azul,M,76,15.7,47.1,54.6,74
azul,F,85,6.5,14.7,17.1,80
azul,F,88,8.5,19.3,22.7,83
azul,F,89,8.1,18.5,21.6,83
azul,F,93,8.2,19.2,22.2,94
azul,F,92,8.9,20.4,23.9,87
azul,F,1,9.3,20.9,24.4,86
azul,F,2,9.5,21.3,24.7,88
azul,F,3,9.7,21.7,25.4,85
azul,F,5,9.5,22.5,26.3,89
azul,F,6,9.8,22.5,25.7,84
azul,F,7,10,22.8,26.9,91
azul,F,9,11,24.7,29.2,2
azul,F,10,11,24.6,28.5,4
azul,F,10,11.4,23.7,27.7,1
azul,F,11,10.6,24.9,28.5,4
azul,F,13,11.4,26,30.1,6
azul,F,14,10.7,24.6,28.9,5
azul,F,14,11.1,25.4,29.2,7
azul,F,17,12.2,26.1,31.6,9
azul,F,19,11.7,27.1,31.2,13
azul,F,21,11.5,27.6,32.6,8
azul,F,22,12.2,27.9,32.1,11
azul,F,23,11.8,28.4,32.7,12
azul,F,24,12.5,28.6,33.8,13
azul,F,25,13,30,34.9,23
azul,F,31,12.5,30.1,34.7,17
azul,F,32,13.2,30.1,35.6,14
azul,F,33,14.2,32.8,37.4,32
azul,F,34,13.3,31.8,36.3,27
azul,F,34,13.5,31.9,37,30
azul,F,34,13.8,31.7,36.6,22
azul,F,35,14.3,33.9,38.5,38
azul,F,36,14.2,32.6,38.3,30
azul,F,38,13.8,33.4,38.7,38
azul,F,39,13.9,32.8,37.9,26
azul,F,39,14.7,33.9,39.5,35
azul,F,41,15,34.5,40.3,43
azul,F,44,15.2,34.5,40.1,31
azul,F,46,14,34.2,39.8,42
azul,F,48,16.1,36.6,41.9,44
azul,F,52,16.9,38.2,44.1,54
azul,F,53,16.7,38.6,44.5,57
azul,F,64,16.5,40.9,47.9,65
laranja,M,89,6.9,16.7,18.6,82
laranja,M,4,8.6,20.7,22.7,90
laranja,M,8,9,22.7,24.8,2
laranja,M,16,9.4,24.2,27,9
laranja,M,18,10.4,26,28.8,15
laranja,M,22,11,27.1,30.4,16
laranja,M,23,10.1,26.6,29.6,14
laranja,M,26,11.5,29.2,32.2,23
laranja,M,27,10.4,28.9,31.8,27
laranja,M,27,10.7,28.7,31.9,25
laranja,M,28,10.6,28.7,31.7,21
laranja,M,28,10.7,27.8,30.9,19
laranja,M,28,11.3,29.2,32.2,27
laranja,M,30,11.3,29.9,33.5,20
laranja,M,37,11.1,30.2,33.6,27
laranja,M,40,12.2,31.7,34.2,34
laranja,M,44,11.8,32.3,35.3,38
laranja,M,45,11.6,31.6,34.2,36
laranja,M,51,12.6,35,38.9,47
laranja,M,53,12,34.4,37.3,43
laranja,M,55,12.5,36,39.8,55
laranja,M,56,12.9,36.9,40.9,53
laranja,M,57,13.4,36.7,41.3,58
laranja,M,59,13.4,37.9,42.2,62
laranja,M,61,13.4,37.8,41.9,60
laranja,M,61,13.5,36.9,40.2,57
laranja,M,62,13.4,37.2,41.1,61
laranja,M,66,14.1,39.1,43.2,63
laranja,M,66,14.4,39.8,44.3,64
laranja,M,73,14.4,42.8,46.5,72
laranja,M,75,15,42.9,47.2,70
laranja,M,78,15.5,45.5,49.7,76
laranja,M,79,15.4,45.7,49.7,75
laranja,M,83,16.8,47.2,52.1,78
laranja,M,84,15.7,47.6,52.8,79
laranja,F,4,9.7,21.4,24,93
laranja,F,8,9.2,21.7,24.1,92
laranja,F,16,10,24.1,27,6
laranja,F,17,11.5,25,28.1,11
laranja,F,26,11.9,27,31.4,18
laranja,F,26,12.8,28.8,32.4,19
laranja,F,29,12.2,28.1,31.8,17
laranja,F,31,13.2,29.6,33.4,21
laranja,F,32,13,30,33.7,25
laranja,F,33,12.3,30.1,33.3,32
laranja,F,39,13.5,31.2,35.1,33
laranja,F,39,14,31.6,35.3,30
laranja,F,39,14.1,31,34.5,30
laranja,F,40,13.6,31,34.8,30
laranja,F,43,13.7,31.4,36.1,31
laranja,F,44,14,31.6,35.6,29
laranja,F,48,14.3,32.3,37,38
laranja,F,51,14.5,33.1,37.2,37
laranja,F,53,14.4,34.5,39,49
laranja,F,53,14.7,33.3,37.6,37
laranja,F,54,14,34,38.6,45
laranja,F,57,14.9,34.7,39.5,47
laranja,F,57,16.3,37.9,43,59
laranja,F,58,15.7,35.1,40.5,50
laranja,F,59,15.5,35.6,40,48
laranja,F,59,15.7,36.5,41.6,52
