"","data","dolar","indiceBovespa"
"1",2015-01-02,2.6941,48512.22
"2",2015-01-05,2.7064,47516.82
"3",2015-01-06,2.7001,48000.92
"4",2015-01-07,2.6835,49462.91
"5",2015-01-08,2.663,49943.3
"6",2015-01-09,2.6301,48840.25
"7",2015-01-12,2.6734,48139.74
"8",2015-01-13,2.643,48041.67
"9",2015-01-14,2.6159,47645.87
"10",2015-01-15,2.6422,48026.31
"11",2015-01-16,2.621,49016.52
"12",2015-01-19,2.6517,47758.01
"13",2015-01-20,2.6138,47876.66
"14",2015-01-21,2.6005,49224.08
"15",2015-01-22,2.5745,49442.62
"16",2015-01-23,2.5797,48775.3
"17",2015-01-26,2.5835,48576.55
"18",2015-01-27,2.5724,48591.23
"19",2015-01-28,2.5764,47694.54
"20",2015-01-29,2.6035,47762.24
"21",2015-01-30,2.6824,46907.68
"22",2015-02-02,2.7271,47650.73
"23",2015-02-03,2.6945,48963.66
"24",2015-02-04,2.7418,49301.05
"25",2015-02-05,2.7451,49233.85
"26",2015-02-06,2.7825,48792.27
"27",2015-02-09,2.7698,49382.58
"28",2015-02-10,2.8343,48510.28
"29",2015-02-11,2.8693,48239.67
"30",2015-02-12,2.821,49532.72
"31",2015-02-13,2.8346,50635.92
"32",2015-02-18,2.8374,51280.36
"33",2015-02-19,2.8665,51294.03
"34",2015-02-20,2.868,51237.7
"35",2015-02-23,2.8788,51280.64
"36",2015-02-24,2.833,51874.17
"37",2015-02-25,2.875,51811.02
"38",2015-02-26,2.9085,51760.54
"39",2015-02-27,2.839,51583.09
"40",2015-03-02,2.8965,51020.81
"41",2015-03-03,2.9311,51304.1
"42",2015-03-04,2.9766,50468.05
"43",2015-03-05,3.0035,50365.2
"44",2015-03-06,3.0617,49981.19
"45",2015-03-09,3.1223,49181.01
"46",2015-03-10,3.1022,48293.4
"47",2015-03-11,3.1257,48905.58
"48",2015-03-12,3.1661,48880.4
"49",2015-03-13,3.2492,48595.81
"50",2015-03-16,3.2488,48848.21
"51",2015-03-17,3.2395,50285.12
"52",2015-03-18,3.2097,51526.19
"53",2015-03-19,3.2921,50953.53
"54",2015-03-20,3.2293,51966.58
"55",2015-03-23,3.1322,51908.46
"56",2015-03-24,3.1398,51506.07
"57",2015-03-25,3.2012,51858.3
"58",2015-03-26,3.1828,50579.85
"59",2015-03-27,3.2496,50094.66
"60",2015-03-30,3.2306,51243.45
"61",2015-03-31,3.1958,51150.16
"62",2015-04-01,3.1655,52321.76
"63",2015-04-02,3.1205,53123.02
"64",2015-04-06,3.1263,53737.26
"65",2015-04-07,3.1288,53729.16
"66",2015-04-08,3.0495,53661.11
"67",2015-04-09,3.0591,53802.66
"68",2015-04-10,3.0756,54214.11
"69",2015-04-13,3.1212,54239.77
"70",2015-04-14,3.0634,53981.92
"71",2015-04-15,3.0294,54918.74
"72",2015-04-16,3.0221,54674.21
"73",2015-04-17,3.0409,53954.79
"74",2015-04-20,3.033,53761.27
"75",2015-04-22,3.0113,54617.36
"76",2015-04-23,2.9707,55684.85
"77",2015-04-24,2.9517,56594.22
"78",2015-04-27,2.9173,55534.5
"79",2015-04-28,2.9364,55812.03
"80",2015-04-29,2.9612,55325.29
"81",2015-04-30,3.0145,56229.38
"82",2015-05-04,3.0864,57353.98
"83",2015-05-05,3.0536,58051.61
"84",2015-05-06,3.0333,57103.14
"85",2015-05-07,3.026,56921.39
"86",2015-05-08,2.9733,57149.33
"87",2015-05-11,3.0614,57197.1
"88",2015-05-12,3.0206,56792.05
"89",2015-05-13,3.0403,56372.04
"90",2015-05-14,2.9935,56656.57
"91",2015-05-15,2.9972,57248.63
"92",2015-05-18,3.0076,56204.23
"93",2015-05-19,3.0394,55498.82
"94",2015-05-20,3.0027,54901.02
"95",2015-05-21,3.0379,55112.05
"96",2015-05-22,3.0949,54377.29
"97",2015-05-25,3.0968,54609.25
"98",2015-05-26,3.1536,53629.78
"99",2015-05-27,3.1409,54236.25
"100",2015-05-28,3.1624,53976.27
"101",2015-05-29,3.1798,52760.47
"102",2015-06-01,3.1718,53031.31
"103",2015-06-02,3.1306,54236.43
"104",2015-06-03,3.1345,53522.9
"105",2015-06-05,3.1439,52973.37
"106",2015-06-08,3.1132,52809.63
"107",2015-06-09,3.0966,52815.99
"108",2015-06-10,3.1187,53876.44
"109",2015-06-11,3.0896,53688.51
"110",2015-06-12,3.1185,53347.53
"111",2015-06-15,3.13,53137.53
"112",2015-06-16,3.0885,53702.15
"113",2015-06-17,3.057,53248.54
"114",2015-06-18,3.0605,54238.59
"115",2015-06-19,3.0976,53749.41
"116",2015-06-22,3.0814,53863.67
"117",2015-06-23,3.076,53772.43
"118",2015-06-24,3.0979,53842.53
"119",2015-06-25,3.1277,53175.66
"120",2015-06-26,3.1295,54016.97
"121",2015-06-29,3.1178,53014.21
"122",2015-06-30,3.103,53080.88
"123",2015-07-01,3.1498,52757.53
"124",2015-07-02,3.0967,53106.18
"125",2015-07-03,3.1347,52519.4
"126",2015-07-06,3.1391,52149.37
"127",2015-07-07,3.1867,52343.71
"128",2015-07-08,3.2346,51781.74
"129",2015-07-10,3.1593,52590.72
"130",2015-07-13,3.1348,53119.47
"131",2015-07-14,3.1399,53239.17
"132",2015-07-15,3.1391,52902.28
"133",2015-07-16,3.1587,53069.75
"134",2015-07-17,3.1881,52341.8
"135",2015-07-20,3.1981,51600.07
"136",2015-07-21,3.1717,51474.28
"137",2015-07-22,3.2239,50915.78
"138",2015-07-23,3.286,49806.62
"139",2015-07-24,3.3556,49245.84
"140",2015-07-27,3.364,48735.54
"141",2015-07-28,3.3577,49601.6
"142",2015-07-29,3.3308,50245.15
"143",2015-07-30,3.3715,49897.4
"144",2015-07-31,3.4212,50864.77
"145",2015-08-03,3.4514,50138.05
"146",2015-08-04,3.4712,50058.49
"147",2015-08-05,3.4867,50287.27
"148",2015-08-06,3.5361,50011.32
"149",2015-08-07,3.5071,48577.32
"150",2015-08-10,3.4345,49353
"151",2015-08-11,3.475,49072.34
"152",2015-08-12,3.481,48388.05
"153",2015-08-13,3.5194,48009.57
"154",2015-08-14,3.4845,47508.41
"155",2015-08-17,3.4812,47217.43
"156",2015-08-18,3.4681,47450.58
"157",2015-08-19,3.4932,46588.39
"158",2015-08-20,3.457,46649.23
"159",2015-08-21,3.5007,45719.64
"160",2015-08-24,3.5534,44336.47
"161",2015-08-25,3.6175,44544.85
"162",2015-08-26,3.5963,46038.08
"163",2015-08-27,3.551,47715.27
"164",2015-08-28,3.5823,47153.87
"165",2015-08-31,3.6193,46625.52
"166",2015-09-01,3.702,45477.06
"167",2015-09-02,3.7591,46463.96
"168",2015-09-03,3.738,47365.87
"169",2015-09-04,3.8442,46497.72
"170",2015-09-08,3.82,46762.07
"171",2015-09-09,3.7783,46657.1
"172",2015-09-10,3.8498,46503.99
"173",2015-09-11,3.8705,46400.51
"174",2015-09-14,3.815,47281.52
"175",2015-09-15,3.8634,47364.07
"176",2015-09-16,3.8289,48553.1
"177",2015-09-17,3.899,48551.08
"178",2015-09-18,3.9459,47264.08
"179",2015-09-21,3.9857,46590.2
"180",2015-09-22,4.0497,46264.61
"181",2015-09-23,4.178,45340.11
"182",2015-09-24,3.9368,45291.97
"183",2015-09-25,3.9777,44831.46
"184",2015-09-28,4.1083,43956.63
"185",2015-09-29,4.0634,44131.82
"186",2015-09-30,3.9491,45059.34
"187",2015-10-01,4.01,45313.27
"188",2015-10-02,3.9331,47033.46
"189",2015-10-05,3.912,47598.07
"190",2015-10-06,3.8539,47735.11
"191",2015-10-07,3.8838,48914.32
"192",2015-10-08,3.7839,49106.56
"193",2015-10-09,3.766,49338.41
"194",2015-10-12,3.7639,49338.41
"195",2015-10-13,3.8937,47362.64
"196",2015-10-14,3.8119,46710.44
"197",2015-10-15,3.8032,47161.15
"198",2015-10-16,3.9245,47236.1
"199",2015-10-19,3.8857,47447.31
"200",2015-10-20,3.9073,47076.55
"201",2015-10-21,3.9414,47025.87
"202",2015-10-22,3.9088,47772.14
"203",2015-10-23,3.8807,47596.59
"204",2015-10-26,3.906,47209.32
"205",2015-10-27,3.8883,47042.95
"206",2015-10-28,3.9094,46740.85
"207",2015-10-29,3.8509,45628.35
"208",2015-10-30,3.8564,45868.82
"209",2015-11-03,3.7712,48053.67
"210",2015-11-04,3.8003,47710.1
"211",2015-11-05,3.7813,48046.76
"212",2015-11-06,3.7713,46918.52
"213",2015-11-09,3.799,46194.92
"214",2015-11-10,3.751,46206.57
