"data","dia.do.ano","t.media","t.max","t.min","chuva","ur","estacao"
2009-01-01,1,24.7497916666667,29.92,21.82,1.8,89.9439583333333,"Verão"
2009-01-02,2,25.8022916666667,31.21,22.91,12.8,84.5970833333333,"Verão"
2009-01-03,3,27.131875,31.41,23.84,0.4,77.9997916666667,"Verão"
2009-01-04,4,25.7502083333333,31.84,23.35,66.4,87.2229166666667,"Verão"
2009-01-05,5,25.9639583333333,29.83,22.64,0.2,81.2389583333333,"Verão"
2009-01-06,6,26.5,31.48,23.47,0,82.4435416666667,"Verão"
2009-01-07,7,24.6570833333333,27.95,23.12,9.4,90.8458333333333,"Verão"
2009-01-08,8,25.204375,29.07,22.64,0.2,88.7791666666667,"Verão"
2009-01-09,9,26.4866666666667,29.73,23.88,0,81.8329166666667,"Verão"
2009-01-10,10,25.371875,29.16,23.17,14.6,89.03125,"Verão"
2009-01-11,11,24.439375,29.25,22.39,19,89.811875,"Verão"
2009-01-12,12,24.9452083333333,29.6,23,15.2,87.1497916666667,"Verão"
2009-01-13,13,25.58125,30.01,23.13,10.4,86.8191666666667,"Verão"
2009-01-14,14,24.15625,25.7,23.18,10.4,92.6354166666667,"Verão"
2009-01-15,15,25.578125,30.08,22.8,20.4,85.7952083333333,"Verão"
2009-01-16,16,24.589375,28.41,22.9,48.8,92.1645833333333,"Verão"
2009-01-17,17,25.114375,29.48,23.22,26,90.31875,"Verão"
2009-01-18,18,24.1997916666667,29.04,22.58,10.4,90.8708333333333,"Verão"
2009-01-19,19,23.99125,27.79,22.1,0.8,91.9625,"Verão"
2009-01-20,20,25,28.91,22.35,0.6,85.4997916666667,"Verão"
2009-01-21,21,24.4095833333333,27.83,22.33,38.6,89.3479166666667,"Verão"
2009-01-22,22,25.585625,29.75,23.07,0,85.4985416666667,"Verão"
2009-01-23,23,24.4947916666667,26.88,22.72,7.6,91.0541666666667,"Verão"
2009-01-24,24,24.6404166666667,30.87,22.64,1.6,89.2816666666667,"Verão"
2009-01-25,25,25.1354166666667,29.04,22.72,0,88.5041666666667,"Verão"
2009-01-26,26,24.785625,28.69,22.3,16.8,87.9091666666667,"Verão"
2009-01-27,27,23.7795833333333,26.6,22.21,18.6,91.4354166666667,"Verão"
2009-01-28,28,23.6954166666667,25.39,21.86,16,92.4708333333333,"Verão"
2009-01-29,29,23.736875,26.19,21.59,26.4,92.2770833333333,"Verão"
2009-01-30,30,25.6410416666667,29.39,22.94,0.8,86,"Verão"
2009-01-31,31,24.7560416666667,28.99,23.38,4.8,91.4645833333333,"Verão"
2009-02-01,32,24.0889583333333,29.8,22.16,6.2,90.0277083333333,"Verão"
2009-02-02,33,24.701875,30.43,21.4,5,87.1745833333333,"Verão"
2009-02-03,34,25.693125,30,22.89,3.2,85.6789583333333,"Verão"
2009-02-04,35,25.20125,28.23,22.32,3.8,85.5472916666667,"Verão"
2009-02-05,36,24.4577083333333,27.01,22.92,9.4,89.7229166666667,"Verão"
2009-02-06,37,25.8195833333333,30.35,23.41,3.2,82.9720833333333,"Verão"
2009-02-07,38,24.8483333333333,28.51,23.5,21.6,91.6854166666667,"Verão"
2009-02-08,39,23.2579166666667,24.03,22.04,92,95.4375,"Verão"
