INDIVIDUO,Peso (g),Comp (mm),Largura(mm)
1,4.68,32.0,16.7
2,5.77,34.1,18.9
3,4.33,28.7,16.5
4,5.61,33.0,17.7
5,4.07,29.2,16.2
6,2.53,24.6,14.2
7,5.32,29.9,17.2
8,5.20,32.7,17.5
9,1.70,22.5,12.3
10,4.89,30.6,16.9
11,1.50,21.0,11.9
12,4.49,30.6,16.9
13,3.72,27.9,16.2
14,3.12,26.1,15.8
15,3.38,26.7,15.3
16,2.71,26.5,15.1
17,3.51,27.5,16.1
18,2.62,26.2,14.3
19,5.71,33.6,18.2
20,3.32,26.2,15.1
21,6.85,33.6,14.4
22,2.29,24.3,31.5
23,1.32,20.6,11.1
24,2.14,24.0,13.8
25,2.35,24.5,14.0
26,4.27,29.1,16.3
27,3.46,28.6,15.4
28,6.17,33.0,18.8
29,6.66,34.3,18.9
30,3.15,26.9,15.8
31,2.26,24.4,13.8
32,2.89,25.4,14.0
33,4.60,31.6,17.5
34,1.98,24.5,12.9
35,2.77,24.6,14.5
36,3.02,26.4,15.2
37,1.70,21.7,12.3
38,3.97,28.6,16.5
39,5.92,33.6,18.8
40,4.98,32.4,17.1
41,4.28,29.3,16.5
42,2.64,26.4,14.2
43,2.01,24.6,13.4
44,4.21,30.5,17.0
45,4.68,30.6,16.2
46,3.66,29.3,15.9
47,3.61,28.2,16.3
48,4.87,31.2,17.3
49,5.19,30.9,17.7
50,5.11,33.7,18.5
51,4.70,30.6,17.1
52,6.03,31.1,18.9
53,6.25,30.6,17.6
54,6.23,34.7,18.3
55,1.72,21.0,11.8
56,3.34,28.3,14.9
57,3.50,26.8,15.3
58,5.69,30.3,17.3
59,5.06,30.0,18.5
60,4.99,30.5,17.5
61,3.87,28.9,15.9
62,5.66,31.7,17.2
63,4.07,28.2,16.6
64,3.95,28.5,16.6
65,3.43,31.5,15.4
66,2.64,25.7,14.3
67,2.80,26.3,14.8
68,2.26,23.4,13.8
69,3.80,28.5,16.4
70,3.05,27.1,14.6
71,4.48,29.7,16.8
72,3.08,27.0,15.0
73,3.42,26.5,14.9
74,4.55,29.4,16.5
75,4.35,28.6,16.1
76,1.78,23.2,12.7
77,4.23,28.0,16.0
78,3.99,29.5,16.0
79,2.73,27.6,14.6
80,1.92,23.0,13.4
81,1.73,21.4,12.2
82,2.03,24.2,13.2
83,4.82,31.5,16.4
84,2.16,25.2,14.4
85,3.78,27.7,15.4
86,1.76,22.1,13.1
87,3.33,27.1,12.8
88,4.46,28.6,16.5
89,3.31,26.8,15.6
90,2.21,24.1,14.2
91,3.95,28.9,16.7
92,4.16,29.5,16.8
93,3.08,27.8,15.8
94,2.84,27.0,14.5
95,3.49,27.4,15.1
96,2.48,26.7,14.5
97,2.63,25.3,14.1
98,2.09,23.9,13.8
99,4.41,29.7,17.5
100,5.37,31.1,17.4
101,4.04,28.6,16.4
102,3.78,28.9,15.1
103,2.41,24.1,13.8
104,2.33,25.2,14.1
105,2.38,27.9,16.1
106,2.41,24.6,14.5
107,5.01,31.4,17.9
108,2.63,25.3,14.6
109,5.43,32.9,18.7
110,4.37,31.2,17.2
111,3.60,28.9,16.4
112,3.60,28.9,16.4
113,3.24,28.4,15.9
114,2.12,24.0,13.4
115,3.00,26.8,15.2
116,3.81,28.7,16.2
117,4.37,28.8,16.5
118,1.57,21.0,12.0
119,1.94,23.6,14.1
120,1.41,21.9,11.6
121,4.12,29.0,16.9
122,3.37,27.2,15.9
123,3.38,27.6,15.3
124,1.99,23.9,13.4
125,2.65,26.1,14.1
126,3.94,29.2,16.6
127,2.92,27.5,15.0
128,2.00,23.7,13.0
129,2.41,25.6,13.9
130,2.77,24.5,14.3
131,4.39,30.3,17.1
132,4.82,31.9,18.0
133,5.16,32.3,17.6
134,5.58,32.7,18.8
135,3.09,28.9,15.9
136,3.37,27.6,15.7
137,4.17,29.6,16.5
138,1.86,24.0,13.1
139,4.54,31.3,17.6
140,4.88,31.7,17.0
141,3.06,26.4,15.1
142,2.97,27.3,15.2
143,4.48,30.6,16.9
144,2.80,25.0,14.3
145,5.01,31.4,17.2
146,4.01,29.0,16.6
147,5.78,32.7,17.9
148,3.93,28.5,15.9
149,3.76,28.3,15.6
150,5.23,33.2,18.5
151,4.14,29.3,16.4
152,5.52,32.1,18.0
153,5.52,29.2,16.2
154,4.57,28.3,16.4
155,3.06,26.7,14.8
156,5.75,32.0,17.8
157,4.40,29.6,16.9
158,3.91,29.4,16.4
159,3.42,27.8,15.8
160,3.54,27.7,15.9
161,3.00,26.9,14.6
162,1.87,23.1,13.3
163,3.94,29.7,15.6
164,4.69,29.3,18.9
165,2.32,25.1,13.7
166,2.99,26.9,14.7
167,1.84,23.4,14.3
